"NUM_PLACA","TIPO","ENDERECO","SENTIDO","LONGITUDE","LATITUDE","LINK","GABARITO"
"604","FRONT LIGHT","AV SANTOS DUMONT PX BANCO SAFRA ESQ R. O. CRUZ ","F. CENTRO","-3.7354775","-38.500681","https://www.google.com.br/Front-604","https://drive.google.com/Gabarito-604"
"605","FRONT LIGHT","CE O40 - VIZINHO SHOPPING EUSEBIO - ACESSO FO AC. FORTAL ","EUSEBIO","-3.8694587","-38.4671512","https://www.google.com.br/Front-605","https://drive.google.com/Gabarito-605"
"606","FRONT LIGHT","CE 040 - VIZINHO SHOPPING EUSEBIO - ACESSO EU AC EUSEBIO ","EUSEBIO","-3.8694587","-38.4671512","https://www.google.com.br/Front-606","https://drive.google.com/Gabarito-606"
"607","FRONT LIGHT","AV GODOFREDO MACIEL BALAO DO MONDUBIM","F. CENTRO","-3.8120802","-38.5749174","https://www.google.com.br/Front-607","https://drive.google.com/Gabarito-607"
"608","FRONT LIGHT","AV. DOMINGOS OLIMPIO. NA IGREJA OTAVIO BONFIM","BEZERRA DE MENEZES","-3.7327453","-38.5424898","https://www.google.com.br/Front-608","https://drive.google.com/Gabarito-608"
"609","FRONT LIGHT","AV. DOS EXPEDICIONARIOS. ESQ. AV. EDUARDO GIRÃO. ACESSO MONTESE","F. CENTRO","-3.7508509","-38.5369356","https://www.google.com.br/Front-609","https://drive.google.com/Gabarito-609"
"612","FRONT LIGHT","AV OSORIO PAIVA PX COL LOURENCO FILHO","F. LAGOA","-3.7750984","-38.5656508","https://www.google.com.br/Front-612","https://drive.google.com/Gabarito-612"
"613","FRONT LIGHT","AV. JOVITA FEITOSA. ESQ. AV. HUMBERTO MONTE. ACESSO SHOPPING RIO MAR KENEDY","ACESSO AO RIOMAR KENNEDY","-3.7416509","-38.5668527","Https://www.google.com.br/Front-613","https://drive.google.com/Gabarito-613"
"614","FRONT LIGHT","AV. ENG HUMBERTO MONTE. ESQ. COM AV JOVITA FEITOSA","SHOPPING BENFICA","-3.7416509","-38.5668527","https://www.google.com.br/Front-614","https://drive.google.com/Gabarito-614"
"615","FRONT LIGHT","AV. PONTES VIEIRA. AO LADO DA ASSEMBLEIA LEGISLATIVA","AV. VIRGILIO TAVORA","-3.7514541","-38.502251","https://www.google.com.br/Front-615","https://drive.google.com/Gabarito-615"
